id,csv_filename,file_columns,query
1,F:/csv\10csv,{id;tratamiento;nombre;apellidos;dirección_de_correo_electrónico;empresa;ventas;activado;boletín;ofertas_de_asociados;fecha_de_registro;última_visita},NULL
2,F:/csv\11csv,"{""id, email, company_name, telephone, hand_phone, customer_since, contact_person, address, postcode, machine_type, total_no._of_orders, last_month_orders, last_order""}",NULL
3,F:/csv\10csv,"{""id, name, e-mail, gruppe, telefon, postleitzahl, land, bundesland, kunde_seit, website""}",NULL
4,F:/csv\11csv,"{""email, _website, _store, website_id, store_id, created_in, prefix, firstname, middlename, lastname, suffix, group_id, dob, password_hash, taxvat, confirmation, created_at, gender, rp_token, rp_token_created_at, disable_auto_group_change, from_lengow, inchoo_socialconnect_gid, inchoo_socialconnect_gtoken, inchoo_socialconnect_fid, inchoo_socialconnect_ftoken, inchoo_socialconnect_tid, inchoo_socialconnect_ttoken, from_iziflux, wallet_id, wallet_contract_number, mp_smtp_is_synced, password""}",NULL
5,F:/csv\10csv,"{""id, purchase_point, purchase_date, bill-to_name, ship-to_name, grand_total_(base), grand_total_(purchased), status, billing_address, shipping_address, shipping_information, customer_email, customer_group, subtotal, shipping_and_handling, customer_name, payment_method, total_refunded, coupon_code, discount_amount, customer_id, weight, subtotal_(purchased), modified, tax_code, tax_amount, tax_amount_(base), tax_real_amount_(base), invoices, total_paid_(base), shipments, shipped, tracking_numbers, product_name, sku, product_thumbnail, product_quantity, qty_by_sku, custom_options, billing_fax, billing_region, billing_postcode, billing_city, billing_company, billing_telephone, billing_country, shipping_fax, shipping_region, shipping_postcode, shipping_city, shipping_company, shipping_telephone, shipping_country, label_status, braintree_transaction_source, shipping_address_check_status""}",NULL
