date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
-1.6959366013579635,-1.580151715683832,0.657801683426208,-0.7510619947418575,-1.9972685834963613,-2.7216301627532618,-2.8274938052223475,-0.3392290036588082,0.3462167922666557,17.25894397403932
-1.6959283514591188,0.35325931241520026,-0.6579198126338098,-1.0324533569068692,-2.104085608314967,-2.4595205203383217,-2.8274938052223475,-0.44624289203342643,0.9464726789654792,15.333921911485335
-1.695920101560274,-0.13009344460955782,-1.0799436887285327,-1.1900325197192756,-2.1498643332372263,-2.494468472660314,-2.771168847111115,-0.44624289203342643,0.4891348605282803,7.63383366126941
-1.6959118516614293,1.3199648264647164,-1.0799436887285327,-1.1900325197192756,-2.394017532822611,-2.4595205203383217,-2.6397439448515705,-0.44624289203342643,-0.6637375567821584,3.7837895361614473
-1.6959036017625846,0.35325931241520026,-0.5834450109700353,-1.0099420479336683,-1.4937026093515056,-2.1449889494403935,-1.6822196569606085,-0.44624289203342643,0.6796922848771132,1.8587674736074655
-1.6958953518637396,-0.13009344460955782,-0.13659620098738778,-0.8973855030676636,-1.0816940850511692,-2.0925670209574054,-2.6585189308886483,-0.2589685873778446,1.1846694594015201,1.8587674736074655
-1.695887101964895,1.3199648264647164,-1.0799436887285327,-1.1900325197192756,-1.0511749351029962,-1.7430874977374853,-2.4144441124066383,0.9449376568366101,0.9369448077480376,-0.06625458894651602
-1.6958788520660502,1.3199648264647164,-1.0551187548406078,-1.1675212107460746,-1.4631834594033326,-0.799492785043701,-0.42429559247640314,-0.23221511528419003,0.31763317861433077,-0.06625458894651602
-1.6958706021672054,-0.6134462016343158,0.35990247677110954,-0.7735733037150585,-1.5547409092478515,-1.3586600221955731,-1.1189700758482777,1.4800070987097012,-0.34931780660658424,-0.06625458894651602
-1.6958623522683607,0.8366120694399584,-0.6082699448579602,-0.9986863934470678,-1.6005196341701113,-1.4285559268395571,-1.156520047922433,0.11558002193331914,-2.7027019973146698,-0.06625458894651602
